"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 00:35:34 EDT 2024","Wed Apr 24 00:35:34 EDT 2024","47","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","carouselIsDisplayedTest","carouselIsDisplayedTest",""
"passed","Wed Apr 24 00:35:48 EDT 2024","Wed Apr 24 00:35:49 EDT 2024","980","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","headerArtLinkTest","headerArtLinkTest",""
"passed","Wed Apr 24 00:36:14 EDT 2024","Wed Apr 24 00:36:15 EDT 2024","1660","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","storeLogoLinkTest","storeLogoLinkTest",""
"unknown","Wed Apr 24 00:35:24 EDT 2024","Wed Apr 24 00:35:24 EDT 2024","0","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","subscribeWithRegisteredEmailTest","Broken test due to site changes",""
"unknown","Wed Apr 24 00:35:24 EDT 2024","Wed Apr 24 00:35:24 EDT 2024","0","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","subscriptionButtonIsEnabledTest","Deprecated test due to site changes",""
"unknown","Wed Apr 24 00:35:24 EDT 2024","Wed Apr 24 00:35:24 EDT 2024","0","parallel-suite","parallel-tests","tests.functional.OrderCompleteTest","tests.functional.OrderCompleteTest","orderCompleteTest","Old test",""
"unknown","Wed Apr 24 00:35:24 EDT 2024","Wed Apr 24 00:35:24 EDT 2024","0","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","bannersTest","Broken test due to site changes",""
"passed","Wed Apr 24 00:35:59 EDT 2024","Wed Apr 24 00:35:59 EDT 2024","27","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","saleBannerIsDisplayedTest","saleBannerIsDisplayedTest",""
"passed","Wed Apr 24 00:36:10 EDT 2024","Wed Apr 24 00:36:11 EDT 2024","871","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","searchInputIncorrectValueTest","searchInputIncorrectValueTest",""
"passed","Wed Apr 24 00:35:44 EDT 2024","Wed Apr 24 00:35:45 EDT 2024","1220","parallel-suite","parallel-tests","tests.pages.main.MainPageTest","tests.pages.main.MainPageTest","headerAccessoriesLinkTest","headerAccessoriesLinkTest",""
